,c_ch4,f_ch4,w,phi,z,T,ch4
0,0.0,0.002,-1.5e-09,0.65,0.0,4.0,1.8615658321849085e-09
1,4041269793077171.5,0.002,-1.5e-09,0.65,0.10033444816053512,4.0,1.8615658321849085e-09
2,7768674472587144.0,0.002,-1.5e-09,0.65,0.20066889632107024,4.0,1.8615658321849085e-09
3,1.1206590404155292e+16,0.002,-1.5e-09,0.65,0.3010033444816054,4.0,1.8615658321849085e-09
4,1.4377500723520288e+16,0.002,-1.5e-09,0.65,0.4013377926421405,4.0,1.8615658321849085e-09
5,1.7302142411751686e+16,0.002,-1.5e-09,0.65,0.5016722408026756,4.0,1.8615658321849085e-09
6,1.9999641912870184e+16,0.002,-1.5e-09,0.65,0.6020066889632107,4.0,1.8615658321849085e-09
7,2.2487640216326184e+16,0.002,-1.5e-09,0.65,0.7023411371237458,4.0,1.8615658321849085e-09
8,2.478240822478338e+16,0.002,-1.5e-09,0.65,0.802675585284281,4.0,1.8615658321849085e-09
9,2.689895316186138e+16,0.002,-1.5e-09,0.65,0.9030100334448161,4.0,1.8615658321849085e-09
10,2.8851116715718176e+16,0.002,-1.5e-09,0.65,1.0033444816053512,4.0,1.8615658321849085e-09
11,3.0651665560321776e+16,0.002,-1.5e-09,0.65,1.1036789297658862,4.0,1.8615658321849085e-09
12,3.2312374846382572e+16,0.002,-1.5e-09,0.65,1.2040133779264215,4.0,1.8615658321849085e-09
13,3.3844105207974572e+16,0.002,-1.5e-09,0.65,1.3043478260869565,4.0,1.8615658321849085e-09
14,3.5256873788432172e+16,0.002,-1.5e-09,0.65,1.4046822742474916,4.0,1.8615658321849085e-09
15,3.655991975002837e+16,0.002,-1.5e-09,0.65,1.5050167224080269,4.0,1.8615658321849085e-09
16,3.776176469584437e+16,0.002,-1.5e-09,0.65,1.605351170568562,4.0,1.8615658321849085e-09
17,3.887026839897877e+16,0.002,-1.5e-09,0.65,1.705685618729097,4.0,1.8615658321849085e-09
18,3.989268020354597e+16,0.002,-1.5e-09,0.65,1.8060200668896322,4.0,1.8615658321849085e-09
